stock_name,doubling_date,price_at_detection,price_after_lookahead,multiplier,years_of_data,days_to_target
ULBSL,2024-11-19,3081.0,4840.0,1.571,3.1,30
UMHL,2021-03-25,157.94,238.32,1.509,5.0,30
UMHL,2021-06-27,344.86,519.63,1.507,5.0,30
UMHL,2022-06-23,186.92,291.59,1.56,5.0,30
UMHL,2023-12-03,178.4,272.0,1.525,5.0,30
UMHL,2024-06-27,236.0,358.0,1.517,5.0,30
UMRH,2021-04-08,279.81,465.73,1.664,4.5,30
UMRH,2021-07-06,439.3,710.9,1.618,4.5,30
UMRH,2022-01-10,546.85,836.95,1.53,4.5,30
UNHPL,2021-03-29,126.0,199.0,1.579,5.0,30
UNHPL,2021-06-29,327.0,529.0,1.618,5.0,30
UNL,2023-04-27,22200.0,33320.0,1.501,5.0,30
UPCL,2021-03-30,135.42,213.73,1.578,5.0,30
UPCL,2021-06-20,282.82,455.09,1.609,5.0,30
UPCL,2024-06-23,190.0,291.5,1.534,5.0,30
UPCL,2025-03-25,278.13,439.43,1.58,5.0,30
UPPER,2020-10-19,191.5,302.0,1.577,5.0,30
UPPER,2021-02-07,299.0,449.0,1.502,5.0,30
UPPER,2024-06-27,154.3,234.3,1.518,5.0,30
USHEC,2022-12-06,246.4,390.0,1.583,2.8,30
USHEC,2023-11-05,224.9,340.0,1.512,2.8,30
USLB,2020-12-10,731.29,1121.75,1.534,4.8,30
USLB,2023-12-05,610.0,959.9,1.574,4.8,30
USLB,2024-02-04,935.0,1640.0,1.754,4.8,30
VLBS,2020-12-10,633.6,1011.55,1.597,5.0,30
VLBS,2024-04-18,701.1,1084.5,1.547,5.0,30
WNLB,2024-02-14,843.1,1274.0,1.511,3.4,30
WNLB,2024-07-28,1632.0,2643.8,1.62,3.4,30
WNLB,2025-01-05,2520.0,3950.0,1.567,3.4,30
